                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5789,                 1.8313,                 1.6553,                0.69895,                0.79197,                0.81591,                0.42595,                  1.485,                  1.803,                 1.6269,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.2839,                 1.0146,                 1.3643,                0.82027,                 0.8644,                0.88306,                0.58204,                 1.1505,                 0.8088,                 1.3147,             0.00092408,             0.00092408,             0.00092408
                      3,                 1.2303,                0.93638,                 1.3394,                0.81783,                0.86156,                0.87991,                 0.5317,                 1.1657,                0.93765,                 1.3563,              0.0013629,              0.0013629,              0.0013629
                      4,                 1.2523,                0.93171,                 1.3711,                0.80313,                0.87057,                0.89233,                0.44525,                  1.825,                 1.3038,                 1.8394,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1918,                0.88437,                 1.3276,                0.82105,                0.85325,                 0.9013,                0.58805,                  1.089,                 0.8462,                 1.2855,              0.0013158,              0.0013158,              0.0013158
                      6,                  1.182,                 0.8658,                 1.3161,                0.81976,                0.86425,                0.90144,                0.57532,                 1.2018,                0.78213,                 1.3574,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1717,                0.85315,                 1.3063,                0.82992,                0.90816,                  0.912,                0.62705,                 1.0767,                0.73129,                 1.2765,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1732,                0.84753,                 1.3211,                0.83736,                0.91152,                0.92668,                0.64257,                 1.0642,                0.70472,                 1.2591,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1625,                0.81692,                 1.2933,                0.86308,                0.85588,                0.90563,                0.59636,                 1.1981,                0.72224,                 1.3588,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1425,                0.80128,                 1.2923,                0.82305,                0.92681,                0.91863,                0.65084,                 1.0496,                0.76122,                 1.2472,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1172,                0.80469,                 1.2758,                0.83434,                0.91661,                0.92844,                0.63954,                 1.1136,                0.68434,                 1.3117,              0.0011461,              0.0011461,              0.0011461
                     12,                  1.118,                0.81201,                  1.276,                0.82169,                0.88966,                0.89706,                0.60279,                 1.1147,                0.76321,                  1.328,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1036,                0.79021,                 1.2614,                0.82752,                0.92287,                0.92465,                0.65477,                 1.0497,                0.67925,                 1.2434,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0955,                0.77323,                 1.2673,                0.84117,                0.89637,                0.91211,                0.64257,                 1.0636,                0.69449,                 1.2706,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0898,                0.76621,                 1.2559,                0.82666,                0.90423,                0.92278,                0.63521,                 1.0766,                0.71813,                 1.2749,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1171,                0.77885,                 1.2667,                0.85929,                0.89905,                0.92515,                0.65625,                 1.0499,                0.66518,                 1.2546,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.0731,                0.75558,                  1.246,                0.79064,                0.92937,                0.90372,                0.63646,                 1.0437,                0.71138,                 1.2509,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.0552,                0.73706,                 1.2343,                0.81647,                0.93574,                0.91919,                0.64596,                 1.0309,                0.68894,                 1.2304,               0.000948,               0.000948,               0.000948
                     19,                 1.0691,                0.74858,                 1.2571,                0.85963,                0.89206,                0.92122,                0.63229,                 1.0411,                0.65045,                 1.2439,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0427,                 0.7157,                 1.2355,                0.82793,                 0.9135,                0.91556,                0.65264,                 1.0195,                0.65391,                 1.2308,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0445,                0.72455,                 1.2436,                0.82139,                0.91743,                0.91799,                0.65251,                 1.0578,                0.67576,                 1.2698,             0.00086312,             0.00086312,             0.00086312
                     22,                  1.049,                 0.7222,                 1.2354,                0.84555,                0.90868,                0.92182,                0.64895,                 1.0636,                0.65795,                 1.2598,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.0375,                0.71009,                 1.2254,                0.81242,                0.93023,                0.91909,                0.66164,                 1.0385,                0.66085,                 1.2464,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0183,                0.70286,                 1.2202,                0.83385,                 0.8761,                0.91489,                0.62135,                 1.0484,                0.77903,                 1.2533,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0185,                 0.7028,                 1.2139,                0.85925,                0.87569,                0.92918,                0.62037,                  1.057,                0.64671,                  1.257,             0.00074994,             0.00074994,             0.00074994
                     26,                  1.015,                0.69894,                 1.2158,                0.83307,                0.92056,                0.91952,                0.64746,                 1.0471,                0.64234,                 1.2693,             0.00072164,             0.00072164,             0.00072164
                     27,                  1.019,                0.69438,                 1.2173,                0.82171,                0.92903,                 0.9266,                0.65695,                 1.0251,                0.63637,                 1.2506,             0.00069335,             0.00069335,             0.00069335
                     28,                0.99915,                0.67268,                 1.2048,                0.85846,                0.89713,                0.92085,                0.65229,                 1.0302,                0.62294,                 1.2408,             0.00066506,             0.00066506,             0.00066506
                     29,                0.99802,                 0.6812,                 1.2053,                0.84208,                0.89966,                 0.9128,                0.64691,                 1.0165,                0.64245,                 1.2254,             0.00063676,             0.00063676,             0.00063676
                     30,                0.97409,                0.66615,                  1.198,                0.83543,                0.90244,                0.91727,                0.63506,                 1.0495,                0.64638,                 1.2512,             0.00060847,             0.00060847,             0.00060847
                     31,                0.97151,                0.66213,                 1.1883,                0.85134,                0.85163,                0.90933,                0.62913,                 1.0306,                0.69715,                 1.2391,             0.00058017,             0.00058017,             0.00058017
                     32,                0.97876,                0.65754,                 1.1969,                0.81357,                0.90701,                0.91711,                0.65236,                 1.0629,                0.68889,                 1.2599,             0.00055188,             0.00055188,             0.00055188
                     33,                0.95455,                0.64848,                 1.1805,                0.82326,                0.93123,                0.92561,                0.66109,                 1.0172,                0.66891,                 1.2354,             0.00052359,             0.00052359,             0.00052359
                     34,                0.95365,                0.63561,                 1.1744,                0.80367,                0.92213,                0.90336,                0.63932,                 1.0302,                0.66758,                 1.2435,             0.00049529,             0.00049529,             0.00049529
                     35,                0.95973,                0.64254,                 1.1827,                0.84696,                0.91178,                0.92992,                 0.6627,                 1.0319,                0.65752,                 1.2414,               0.000467,               0.000467,               0.000467
                     36,                0.93938,                0.62069,                 1.1749,                0.82959,                0.92519,                0.92399,                0.66482,                 1.0225,                0.63254,                 1.2345,              0.0004387,              0.0004387,              0.0004387
                     37,                0.93034,                0.61433,                 1.1633,                0.87636,                0.86461,                0.92132,                0.64118,                 1.0374,                0.65438,                 1.2505,             0.00041041,             0.00041041,             0.00041041
                     38,                0.93456,                0.61366,                  1.176,                0.83022,                0.91571,                0.91479,                0.64321,                 1.0327,                0.68594,                 1.2398,             0.00038211,             0.00038211,             0.00038211
                     39,                0.92296,                0.60203,                 1.1583,                0.87709,                0.87511,                0.92084,                0.63997,                 1.0359,                 0.6509,                 1.2476,             0.00035382,             0.00035382,             0.00035382
                     40,                0.91626,                0.60126,                 1.1471,                0.86769,                0.87885,                0.92653,                0.65484,                 1.0252,                0.64796,                 1.2391,             0.00032553,             0.00032553,             0.00032553
                     41,                0.91667,                0.57818,                  1.198,                0.87292,                 0.8765,                0.93453,                 0.6745,                 1.0326,                0.63413,                 1.2468,             0.00029723,             0.00029723,             0.00029723
                     42,                0.90636,                0.56356,                 1.1958,                0.85594,                0.92716,                0.93417,                0.68003,                 1.0262,                0.62337,                 1.2349,             0.00026894,             0.00026894,             0.00026894
                     43,                0.89143,                0.54834,                 1.1806,                0.87255,                0.90368,                0.92899,                0.65289,                 1.0452,                0.64826,                 1.2542,             0.00024064,             0.00024064,             0.00024064
                     44,                0.87977,                0.53135,                 1.1706,                0.84921,                 0.9099,                0.92755,                0.67228,                 1.0294,                0.67723,                  1.238,             0.00021235,             0.00021235,             0.00021235
                     45,                0.86545,                0.52131,                 1.1691,                0.84724,                0.91957,                0.92095,                0.66472,                 1.0429,                0.67291,                 1.2498,             0.00018406,             0.00018406,             0.00018406
                     46,                0.85472,                0.52224,                  1.157,                0.84732,                0.91882,                0.91685,                0.65732,                 1.0481,                0.64574,                 1.2572,             0.00015576,             0.00015576,             0.00015576
                     47,                0.84246,                0.50201,                 1.1491,                0.84065,                0.93549,                0.92935,                0.67738,                 1.0443,                0.64502,                 1.2512,             0.00012747,             0.00012747,             0.00012747
                     48,                0.83924,                0.50273,                 1.1426,                0.86575,                0.90886,                0.92204,                0.67021,                 1.0465,                 0.6614,                 1.2606,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.8306,                0.48666,                  1.146,                0.85867,                0.90373,                 0.9234,                0.66709,                 1.0438,                0.68036,                 1.2515,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.82431,                0.48996,                   1.14,                0.84712,                0.91915,                0.92225,                0.66784,                 1.0451,                0.67277,                 1.2542,             4.2584e-05,             4.2584e-05,             4.2584e-05
